cc_num,merchant,category,gender,city,state,city_pop,job,unix_time,is_fraud,age,dist_home_merch,trans_hour,trans_day,trans_month,trans_weekday,is_weekend,amt_log
577588686219,629,9,1,778,38,972,380,1362841766,0,28,54.336118782189736,15,9,3,0,0,5.275611529012399
30376238035123,180,5,0,760,37,217,402,1345650541,0,97,66.06086525882135,15,22,8,3,0,3.976311495310508
4658490815480264,429,12,0,403,38,184,447,1330824856,0,80,94.3860450624672,1,4,3,0,0,2.018895041811802
3514897282719543,187,6,1,263,34,10717,115,1371413078,0,73,109.25128994311494,20,16,6,1,0,2.1198634561787513
6011381817520024,92,2,0,424,50,635,360,1336974888,0,52,67.50151601097888,5,14,5,1,0,4.178838885198542
4855488158131690372,575,12,1,299,46,970,16,1340880365,0,32,24.3995367447022,10,28,6,4,0,4.873669439023098
30427035050508,345,4,1,213,22,673342,52,1358932199,0,55,28.827065968477232,9,23,1,3,0,4.719391330078114
213120463918358,144,12,1,773,18,1758,373,1359545024,0,68,128.7392712248026,11,30,1,3,0,2.2438960966453663
6597888193422452,252,12,1,355,43,2317,79,1331462153,0,61,93.83189522819772,10,11,3,0,0,1.2119409739751128
4809701904914,19,1,0,648,1,59744,72,1365792607,0,41,87.18602249003187,18,12,4,6,1,4.48863636973214
